epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,14286.2,0.67321,0.50662,0.9777,0.90257,0.89923,0.90274,0.74442,0.58097,0.57287,0.94118,0.000495291,0.000495291,0.000495291
101,14435.5,0.67787,0.52374,0.97296,0.86533,0.85294,0.87811,0.73308,0.58762,0.55532,0.95515,0.00048586,0.00048586,0.00048586
102,14586.9,0.69189,0.52633,0.9845,0.85386,0.88263,0.89521,0.74593,0.57782,0.56161,0.96418,0.000476429,0.000476429,0.000476429
103,14731.7,0.6659,0.54702,0.97122,0.89591,0.85798,0.89086,0.73328,0.57387,0.58841,0.96778,0.000466997,0.000466997,0.000466997
104,14877.1,0.68157,0.51864,0.97308,0.8843,0.82188,0.88849,0.73271,0.56206,0.56319,0.94905,0.000457566,0.000457566,0.000457566
105,15021.3,0.65532,0.50423,0.97333,0.8475,0.836,0.8833,0.72847,0.57637,0.57596,0.94322,0.000448134,0.000448134,0.000448134
106,15165.5,0.69148,0.55056,0.97702,0.85858,0.88151,0.88755,0.74117,0.55078,0.55317,0.93084,0.000438703,0.000438703,0.000438703
107,15309.8,0.6745,0.52485,0.96664,0.87994,0.85882,0.88058,0.74029,0.55484,0.61843,0.93666,0.000429272,0.000429272,0.000429272
108,15454.1,0.67541,0.51137,0.96755,0.90814,0.80688,0.86081,0.72106,0.55991,0.6386,0.93397,0.00041984,0.00041984,0.00041984
109,15598.5,0.64772,0.50722,0.96664,0.87244,0.86628,0.87396,0.7234,0.56334,0.61992,0.93982,0.000410409,0.000410409,0.000410409
110,15743,0.67214,0.49352,0.96067,0.83912,0.86363,0.87768,0.72654,0.56547,0.62042,0.94133,0.000400977,0.000400977,0.000400977
